case,ref_link
5,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/a.281312618564717/3290350024327613/?type=3&__xts__%5B0%5D=68.ARBo7ttw6Vs9iGbTJ9S6wbjbIxXk9-itix9JTJz4txJ0V1dlNH686S66s2S79QUWsXTJvqGmgayIQLmDAHhavFwNoV4igPNAVel80oo43eUsi_Rw7jsZPZ7mQSyAPmpvpTzQPRSIPXxG_mfYp2PTFrcgEzuq3tG57FPr6Vg7HFaHhJLDOZrhgjKrFuV4tded815OjKTeCJALmnoYTjmZ7X_m36izkgv_ofFH7MyXUaVDuetq0a0J2TYVyRMAxX6OE_eokwQUr0NkxvtfMMqXsLLA6xV17VwkOCldD3kufnumszm1FDpEVSmYa6K2wGf7erWhhI7ikHB4x_Za2rKpCOIDGQ&__tn__=-R
16,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/a.281312618564717/3310281709001111/?type=3&__xts__%5B0%5D=68.ARBL5RNovehDHGmq3VFIYbn07wcCSJOM_GHHfOXWXfp24oTu_TrMmamxw3gVZ-hwjCjJjbUifsxDWXlbnK-oq2RXxck05GZIjHd9PEly_6JneXuLoWAvbLPzPMGszGvDHEPQBQZkDglnPG8rTyUdd1iYslfcR8p91Xz3HfRdyOWAgfyjygsjKE5WPiBVIKg3rDyqfzB0dv1iybSCeVKZ7ZicOHxt4qEQ-d-BvR-8I0hjNE34-af9skPwlHChY4FMuCxPsIdEsm5EzbFOnkScr3LuRBP9bbbO9dfravgzCgu69TUcoypwTZ3uPS7FmjXA1T6J&__tn__=-R0.g
17,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/photos/a.281312618564717/3310281709001111/?type=3&__xts__%5B0%5D=68.ARBL5RNovehDHGmq3VFIYbn07wcCSJOM_GHHfOXWXfp24oTu_TrMmamxw3gVZ-hwjCjJjbUifsxDWXlbnK-oq2RXxck05GZIjHd9PEly_6JneXuLoWAvbLPzPMGszGvDHEPQBQZkDglnPG8rTyUdd1iYslfcR8p91Xz3HfRdyOWAgfyjygsjKE5WPiBVIKg3rDyqfzB0dv1iybSCeVKZ7ZicOHxt4qEQ-d-BvR-8I0hjNE34-af9skPwlHChY4FMuCxPsIdEsm5EzbFOnkScr3LuRBP9bbbO9dfravgzCgu69TUcoypwTZ3uPS7FmjXA1T6J&__tn__=-R0.g
39,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3321044767924805?__xts__%5B0%5D=68.ARA1Dtmj9hFhQbX8igmtCfVvSbS0W_YX9tT1w4NZWvpNnqu72OL3WBpSEzXMIJUPf0bm3b1WvxkdXO1VyHAmq8IVHTo56p50khvvC1WFNvxdj9Gg9R_yNCkdOFPnXWYUXiwTn_Ol0V9DDhBqP1af6QLhpA8ez8FrnFHJKaWWnZAurcvFVOdkeRaJ-JMR10U-FIW3eCjYD6NoAmyU7l8RE2CaYIcakkVZHpIBgtXYFlBb5B-W3vasUSGImGiXI_yWTEMkh5t-6oTc5v-YhBbPEpW83QIbW3DF2A6X6CdJYZXD9JeOxHF_5wM8g5IwOe5bqLXq6kA2-MSGCkwIr_TASWG5jw&__tn__=-R
