case,ref_link
11,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3288465921182690?__xts__%5B0%5D=68.ARD0DCEmaSzxIBv49ZmPkWQTI768Mm_Lv-UUi0RSBjlCTBHrTa2ID8gmvf3b3Q12E7_sJLRtSWopaCl711Rb5B-a07J07WOHuRFqfx527oDdH84CY2OxCcuzs7PAxNBo9w4Hlk921sBrY--2E3MIA8LEGiucxAEOoWQOMPXnhVdWqdKCfQogYViwOQg6-_pkafVfutzkseOofeMMTFyy3_i1IGSN-GNueOXhmi6RLjmonTvla4MRZE7YCG9ClroRosToG-NXWIKHXmgV_DYV4yfTGS2Q9z_J96qqc15GNiAics3lltbc-bRaQd9kpdLHAWJKq8OQzz33Y93QQYyvyL0edg&__tn__=-R
12,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3288465921182690?__xts__%5B0%5D=68.ARD0DCEmaSzxIBv49ZmPkWQTI768Mm_Lv-UUi0RSBjlCTBHrTa2ID8gmvf3b3Q12E7_sJLRtSWopaCl711Rb5B-a07J07WOHuRFqfx527oDdH84CY2OxCcuzs7PAxNBo9w4Hlk921sBrY--2E3MIA8LEGiucxAEOoWQOMPXnhVdWqdKCfQogYViwOQg6-_pkafVfutzkseOofeMMTFyy3_i1IGSN-GNueOXhmi6RLjmonTvla4MRZE7YCG9ClroRosToG-NXWIKHXmgV_DYV4yfTGS2Q9z_J96qqc15GNiAics3lltbc-bRaQd9kpdLHAWJKq8OQzz33Y93QQYyvyL0edg&__tn__=-R
13,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3288465921182690?__xts__%5B0%5D=68.ARD0DCEmaSzxIBv49ZmPkWQTI768Mm_Lv-UUi0RSBjlCTBHrTa2ID8gmvf3b3Q12E7_sJLRtSWopaCl711Rb5B-a07J07WOHuRFqfx527oDdH84CY2OxCcuzs7PAxNBo9w4Hlk921sBrY--2E3MIA8LEGiucxAEOoWQOMPXnhVdWqdKCfQogYViwOQg6-_pkafVfutzkseOofeMMTFyy3_i1IGSN-GNueOXhmi6RLjmonTvla4MRZE7YCG9ClroRosToG-NXWIKHXmgV_DYV4yfTGS2Q9z_J96qqc15GNiAics3lltbc-bRaQd9kpdLHAWJKq8OQzz33Y93QQYyvyL0edg&__tn__=-R
14,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3288465921182690?__xts__%5B0%5D=68.ARD0DCEmaSzxIBv49ZmPkWQTI768Mm_Lv-UUi0RSBjlCTBHrTa2ID8gmvf3b3Q12E7_sJLRtSWopaCl711Rb5B-a07J07WOHuRFqfx527oDdH84CY2OxCcuzs7PAxNBo9w4Hlk921sBrY--2E3MIA8LEGiucxAEOoWQOMPXnhVdWqdKCfQogYViwOQg6-_pkafVfutzkseOofeMMTFyy3_i1IGSN-GNueOXhmi6RLjmonTvla4MRZE7YCG9ClroRosToG-NXWIKHXmgV_DYV4yfTGS2Q9z_J96qqc15GNiAics3lltbc-bRaQd9kpdLHAWJKq8OQzz33Y93QQYyvyL0edg&__tn__=-R
15,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3291164387579510?__xts__%5B0%5D=68.ARA5SP2_cKYeQgBDMeluA4pPi7ju2p_1O18fZlognei72w2zmGxIQQ039ErOPXA5I7fvCwLHv2hA-MOmI6cvSW62R3ZkpYG5CA-igt6osjh3D97mkTOyIk5G4rCImw68KBFZ-PBduc6Dhb_jG3zfh3AdgQheYNigHL2z_CG7ZbB5fG-BNYo-ob6Fvkvljat8tBcpyDHOyzAd21uA7nHa9f-EUtwsoTERtRoSYs31V7fbLnuPyOsMNtUrsqd_dcjuCyJ-641MP9kpEfQMtanpaLIYaXCV7lwl4jGUoSComzzS-bFo1dAm_md4tP3zp7qTYIQo2G5H39Mb-ZC8V8W632CdyQ&__tn__=-R
16,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3293610624001553?__xts__%5B0%5D=68.ARA-JpfT_pZFz-NQOfRSZ9veaT5hiDu_5Zj5O2d_ZuQ7S9I3ltOjHPTBS4zHbFwqh-rmTQgMYjdKhxpb9y2U1O2AKrcpUBiL9eHlNm9t7PQ_K-y5eSFt43v5AoWsZLzXezRG8SqH9iv2K-fYe7jB8nQt178aokyavg5-FEG9P80IQiIhYqDK4zbwL9YT7C9N1NjQxdmjmFJKRVj1wXYnk8hXvrGBJx0CzAfwEUqa5SD7498Jku_DttxVNnne6KBlgYphb1hBvMqZtWREz-j4NEqqSdbb3HU0uLJjit7vZoH53V8vURawZDiIaH2kAB2EGYSndn8H-kWgLK8tvDuI3ldcvQ&__tn__=-R
17,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3296011030428179?__xts__%5B0%5D=68.ARC3lObhvi991vQb_Z-iveuPgR6ayAbZOHa2mra2Vqe57N89LKqSsSsRhnggfSy_lrwuorwnnlqgDJEqNfJYez4xyrH1qtKnoXOeLWcsd6nnV83UVwRt2MaNOa2V0UHyrmKXLKJrajf8X76BNigtc6bUHfBhioUDYDbzevfMctqgLwZnvFtrgUFPtSWNXREiCJiVn3lvqgwxJkJrwBVW9SAbcU85j0vAAwa3nX9tPXybA400FdOzir194qEmoCnMlAgGSgOm83eanabs0uDv5vI1l8ZkGJ0nbBBPfm12NGQwCAa1pa-TFBzkmwQLd9d9WmabTqwTib_ZI3WZBzCeduqz3w&__tn__=-R
18,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3296011030428179?__xts__%5B0%5D=68.ARC3lObhvi991vQb_Z-iveuPgR6ayAbZOHa2mra2Vqe57N89LKqSsSsRhnggfSy_lrwuorwnnlqgDJEqNfJYez4xyrH1qtKnoXOeLWcsd6nnV83UVwRt2MaNOa2V0UHyrmKXLKJrajf8X76BNigtc6bUHfBhioUDYDbzevfMctqgLwZnvFtrgUFPtSWNXREiCJiVn3lvqgwxJkJrwBVW9SAbcU85j0vAAwa3nX9tPXybA400FdOzir194qEmoCnMlAgGSgOm83eanabs0uDv5vI1l8ZkGJ0nbBBPfm12NGQwCAa1pa-TFBzkmwQLd9d9WmabTqwTib_ZI3WZBzCeduqz3w&__tn__=-R
19,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3296011030428179?__xts__%5B0%5D=68.ARC3lObhvi991vQb_Z-iveuPgR6ayAbZOHa2mra2Vqe57N89LKqSsSsRhnggfSy_lrwuorwnnlqgDJEqNfJYez4xyrH1qtKnoXOeLWcsd6nnV83UVwRt2MaNOa2V0UHyrmKXLKJrajf8X76BNigtc6bUHfBhioUDYDbzevfMctqgLwZnvFtrgUFPtSWNXREiCJiVn3lvqgwxJkJrwBVW9SAbcU85j0vAAwa3nX9tPXybA400FdOzir194qEmoCnMlAgGSgOm83eanabs0uDv5vI1l8ZkGJ0nbBBPfm12NGQwCAa1pa-TFBzkmwQLd9d9WmabTqwTib_ZI3WZBzCeduqz3w&__tn__=-R
20,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3296011030428179?__xts__%5B0%5D=68.ARC3lObhvi991vQb_Z-iveuPgR6ayAbZOHa2mra2Vqe57N89LKqSsSsRhnggfSy_lrwuorwnnlqgDJEqNfJYez4xyrH1qtKnoXOeLWcsd6nnV83UVwRt2MaNOa2V0UHyrmKXLKJrajf8X76BNigtc6bUHfBhioUDYDbzevfMctqgLwZnvFtrgUFPtSWNXREiCJiVn3lvqgwxJkJrwBVW9SAbcU85j0vAAwa3nX9tPXybA400FdOzir194qEmoCnMlAgGSgOm83eanabs0uDv5vI1l8ZkGJ0nbBBPfm12NGQwCAa1pa-TFBzkmwQLd9d9WmabTqwTib_ZI3WZBzCeduqz3w&__tn__=-R
