case,ref_link
31,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3318454918183790?__xts__%5B0%5D=68.ARDSCDoOR03rJfkoRxOTosQXzuhIdIUAulZMEwEy31Ls-4vNIWVKjHoTXjRrmBQKPW9iCPuhIlqB5gZCRXGDQ6-fJzdZWnwULEL0m3ycGTfY_jEK8KY6MgEg-md0Y-uYuQpB6hJYP2AEYiIzIrEXT9zWYnax3VPABu0jltCl7DaWlku-hwvEMjmIGv2fhi4u7SncocRHA1-H5RC-qGnj3uwJwRg1sgjAQgjb4HPXzVvaUwI0QLXrwOolVVsEnxqHIEun_XH_8BZR3ivFI0UvW-urKognLxDyqMXlz8L96ImQF3GAI9DWv1RoTb3GNAN7CWj5lUz8Sk4Sa8En0gxYjg1mOQ&__tn__=-R
32,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3319238001438815?__xts__%5B0%5D=68.ARAZdKkq0lt93zsYimU-qbUd4Pancyezoq_7OLWQp-DP8l2CM5IvFIM-WTuid4FVlheGI2IcbPEMC4zeNTFk1SEtgitZ9rPvnVLWYc-WwiSY9yoDWIt1UkPje0iRmrkUA5gwlxKPPPshHSPQprA3DvVf0W5Fn-TW5XRLA60_joNInWyoLQBwmLbKMBHL-S4uULhhOKC40av_lRQXVecXPox7RWJf5MJBTnAKl2xt3t7k-w8UYy2W3E_5WhKxQmzbK1BVBoyzKFSlwjb-XCM3qEBOmQQz-WoZMhvvzH7o8EHzDhiMH-Gyu6TG7-lvBy3TpUUQxlcih0-veLUk2bCkYrG73Q&__tn__=-R
33,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3319238001438815?__xts__%5B0%5D=68.ARAZdKkq0lt93zsYimU-qbUd4Pancyezoq_7OLWQp-DP8l2CM5IvFIM-WTuid4FVlheGI2IcbPEMC4zeNTFk1SEtgitZ9rPvnVLWYc-WwiSY9yoDWIt1UkPje0iRmrkUA5gwlxKPPPshHSPQprA3DvVf0W5Fn-TW5XRLA60_joNInWyoLQBwmLbKMBHL-S4uULhhOKC40av_lRQXVecXPox7RWJf5MJBTnAKl2xt3t7k-w8UYy2W3E_5WhKxQmzbK1BVBoyzKFSlwjb-XCM3qEBOmQQz-WoZMhvvzH7o8EHzDhiMH-Gyu6TG7-lvBy3TpUUQxlcih0-veLUk2bCkYrG73Q&__tn__=-R
34,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3319238001438815?__xts__%5B0%5D=68.ARAZdKkq0lt93zsYimU-qbUd4Pancyezoq_7OLWQp-DP8l2CM5IvFIM-WTuid4FVlheGI2IcbPEMC4zeNTFk1SEtgitZ9rPvnVLWYc-WwiSY9yoDWIt1UkPje0iRmrkUA5gwlxKPPPshHSPQprA3DvVf0W5Fn-TW5XRLA60_joNInWyoLQBwmLbKMBHL-S4uULhhOKC40av_lRQXVecXPox7RWJf5MJBTnAKl2xt3t7k-w8UYy2W3E_5WhKxQmzbK1BVBoyzKFSlwjb-XCM3qEBOmQQz-WoZMhvvzH7o8EHzDhiMH-Gyu6TG7-lvBy3TpUUQxlcih0-veLUk2bCkYrG73Q&__tn__=-R
35,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3319238001438815?__xts__%5B0%5D=68.ARAZdKkq0lt93zsYimU-qbUd4Pancyezoq_7OLWQp-DP8l2CM5IvFIM-WTuid4FVlheGI2IcbPEMC4zeNTFk1SEtgitZ9rPvnVLWYc-WwiSY9yoDWIt1UkPje0iRmrkUA5gwlxKPPPshHSPQprA3DvVf0W5Fn-TW5XRLA60_joNInWyoLQBwmLbKMBHL-S4uULhhOKC40av_lRQXVecXPox7RWJf5MJBTnAKl2xt3t7k-w8UYy2W3E_5WhKxQmzbK1BVBoyzKFSlwjb-XCM3qEBOmQQz-WoZMhvvzH7o8EHzDhiMH-Gyu6TG7-lvBy3TpUUQxlcih0-veLUk2bCkYrG73Q&__tn__=-R
36,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3319238001438815?__xts__%5B0%5D=68.ARAZdKkq0lt93zsYimU-qbUd4Pancyezoq_7OLWQp-DP8l2CM5IvFIM-WTuid4FVlheGI2IcbPEMC4zeNTFk1SEtgitZ9rPvnVLWYc-WwiSY9yoDWIt1UkPje0iRmrkUA5gwlxKPPPshHSPQprA3DvVf0W5Fn-TW5XRLA60_joNInWyoLQBwmLbKMBHL-S4uULhhOKC40av_lRQXVecXPox7RWJf5MJBTnAKl2xt3t7k-w8UYy2W3E_5WhKxQmzbK1BVBoyzKFSlwjb-XCM3qEBOmQQz-WoZMhvvzH7o8EHzDhiMH-Gyu6TG7-lvBy3TpUUQxlcih0-veLUk2bCkYrG73Q&__tn__=-R
37,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3319238001438815?__xts__%5B0%5D=68.ARAZdKkq0lt93zsYimU-qbUd4Pancyezoq_7OLWQp-DP8l2CM5IvFIM-WTuid4FVlheGI2IcbPEMC4zeNTFk1SEtgitZ9rPvnVLWYc-WwiSY9yoDWIt1UkPje0iRmrkUA5gwlxKPPPshHSPQprA3DvVf0W5Fn-TW5XRLA60_joNInWyoLQBwmLbKMBHL-S4uULhhOKC40av_lRQXVecXPox7RWJf5MJBTnAKl2xt3t7k-w8UYy2W3E_5WhKxQmzbK1BVBoyzKFSlwjb-XCM3qEBOmQQz-WoZMhvvzH7o8EHzDhiMH-Gyu6TG7-lvBy3TpUUQxlcih0-veLUk2bCkYrG73Q&__tn__=-R
38,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3319238001438815?__xts__%5B0%5D=68.ARAZdKkq0lt93zsYimU-qbUd4Pancyezoq_7OLWQp-DP8l2CM5IvFIM-WTuid4FVlheGI2IcbPEMC4zeNTFk1SEtgitZ9rPvnVLWYc-WwiSY9yoDWIt1UkPje0iRmrkUA5gwlxKPPPshHSPQprA3DvVf0W5Fn-TW5XRLA60_joNInWyoLQBwmLbKMBHL-S4uULhhOKC40av_lRQXVecXPox7RWJf5MJBTnAKl2xt3t7k-w8UYy2W3E_5WhKxQmzbK1BVBoyzKFSlwjb-XCM3qEBOmQQz-WoZMhvvzH7o8EHzDhiMH-Gyu6TG7-lvBy3TpUUQxlcih0-veLUk2bCkYrG73Q&__tn__=-R
39,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3321044767924805https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3321044767924805?__xts__%5B0%5D=68.ARA1Dtmj9hFhQbX8igmtCfVvSbS0W_YX9tT1w4NZWvpNnqu72OL3WBpSEzXMIJUPf0bm3b1WvxkdXO1VyHAmq8IVHTo56p50khvvC1WFNvxdj9Gg9R_yNCkdOFPnXWYUXiwTn_Ol0V9DDhBqP1af6QLhpA8ez8FrnFHJKaWWnZAurcvFVOdkeRaJ-JMR10U-FIW3eCjYD6NoAmyU7l8RE2CaYIcakkVZHpIBgtXYFlBb5B-W3vasUSGImGiXI_yWTEMkh5t-6oTc5v-YhBbPEpW83QIbW3DF2A6X6CdJYZXD9JeOxHF_5wM8g5IwOe5bqLXq6kA2-MSGCkwIr_TASWG5jw&__tn__=-R
40,https://www.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3321760637853218?__xts__%5B0%5D=68.ARCPGrXjyPw3D9AqDOHA1ZtfcKYt9ZogGzWesHx0_ciHgOfA4mI3FT5VMgAcDd6rnZ9Q7ZiZctHj4kKiUEK-aETtGjW4E4skc56Rp3WrnuzQruIUeZmcKiMtUgj6x66D-scD2_Y74te5O2Q__6PUw-OYhpuLgeON20Sx1hNEKMUC2FIJrwaBoRNdathhZ4a2JHt7HC5Yg0xgDmU-pYaSIWaiPku0XtxkvXkc34cBGUg6S2DYpbT5Jm6CDvKWR_PQxaFOc8mT7iDk0KxEtV8-ep-AtxzI986JJ0NwLyDf2oT-ODCM6hXuBJF1etUJobnDdRsW9QivNhT9akfsONkrKnmHMw&__tn__=-R
41,https://www.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3321760637853218?__xts__%5B0%5D=68.ARCPGrXjyPw3D9AqDOHA1ZtfcKYt9ZogGzWesHx0_ciHgOfA4mI3FT5VMgAcDd6rnZ9Q7ZiZctHj4kKiUEK-aETtGjW4E4skc56Rp3WrnuzQruIUeZmcKiMtUgj6x66D-scD2_Y74te5O2Q__6PUw-OYhpuLgeON20Sx1hNEKMUC2FIJrwaBoRNdathhZ4a2JHt7HC5Yg0xgDmU-pYaSIWaiPku0XtxkvXkc34cBGUg6S2DYpbT5Jm6CDvKWR_PQxaFOc8mT7iDk0KxEtV8-ep-AtxzI986JJ0NwLyDf2oT-ODCM6hXuBJF1etUJobnDdRsW9QivNhT9akfsONkrKnmHMw&__tn__=-R
42,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
43,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
44,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
45,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
46,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
47,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
48,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
49,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
50,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
51,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
52,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
53,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
54,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
55,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
56,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
57,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
58,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
59,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
60,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
61,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
62,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3324437100918905?__xts__%5B0%5D=68.ARANY9-HMSlsS6VMJDxrcBI9KWAVdlGknJeewS9MB4qaYYg5GsxtyEI2OxPPImHAgLHMoqR2Kqlgg2QXtUqqxuXnAmgLFEoQHSk4k_PFglm5HvICuoyMhyJlg-z06RxxyhwYfzypOac-GRNnhvoMIfKeY3zLvClCIEoP3ntTRnHpCPtQKqF-OekB_5wGvVssYqFzPUp6rr2ERltHKY_9DMauJQKuPEis59ClAYtArVi0ehON-IfFoijDPqlITC_dyxW-PmHv5u8R44q8mpCJdc54ZxLjukGTug1yxkaXA-xjTejGK4JfNHxip4cGoPBNJCZI1NfcDNhkH5grCa1FMAzGyg&__tn__=-R
63,https://web.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3326619774033971?__xts__%5B0%5D=68.ARAJ2WGKpJNp5Av_lTsSxwJ68AgR3qow6Pyabsv-_ScUhDONgCb1cckRtxaM_u5FYyWSHl6gGqgz37ymTsmTr-HPAYijbBfKOYYITPuRmumNFN1o_G-9hIIYm-pc3E2Kf4biQ8sTalnYD6TVfqsWNUaOw0jiZZUdFbWlkX_n_bQsMroycRqOVlNl2Z8UxZyLFiTICrs9QCB1wVMmiuina7OuKMIHX3D33LWJnIa-PLj-d6Q7e25i12hOWVXqui7a5n5XcYSPWK0uumGokdubh-BhKJrJXqglxdOq2AOpBW-j1rcRHm2Mj9uTeDtqGI2I6DPHKRl_KDH9_6kn3p3T2z2orQ&__tn__=-R
64,https://www.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3328333800529235?__xts__%5B0%5D=68.ARBxSy58ys84c3B7KXinvwn-wE-le4ZWCEbC4e5sC42qVwt1fygW8lmQlOzCOSRpR6_9mHiWVpyycHQzRFRDlPBeRSA6WNIcL5z62gpOhCY_93O6EFCKNYkFt9XN5Jxm4flsPX-vYwdVpLJddH2WItFzEcXFJuY27xUiy6a_n8-2Vvv3iKCAC0eYP9nLrvueWwGHfaT4Y0xZMpBvozmV-ZiWQRk4TlESeM3znlEmU442CgL9Fh0u73w5ib4rN6G1GcWPwg2bq8mss_esSuxsW-4GwZ7fyqvXIe1nCOeESS8jMyuW2cUxzcKVbcD1IFNbSoLJf8QUZ3I0J4OsS_4VJ5PBkg&__tn__=-R
65,https://www.facebook.com/MinistryOfHealthAndSportsMyanmar/posts/3328333800529235?__xts__%5B0%5D=68.ARBxSy58ys84c3B7KXinvwn-wE-le4ZWCEbC4e5sC42qVwt1fygW8lmQlOzCOSRpR6_9mHiWVpyycHQzRFRDlPBeRSA6WNIcL5z62gpOhCY_93O6EFCKNYkFt9XN5Jxm4flsPX-vYwdVpLJddH2WItFzEcXFJuY27xUiy6a_n8-2Vvv3iKCAC0eYP9nLrvueWwGHfaT4Y0xZMpBvozmV-ZiWQRk4TlESeM3znlEmU442CgL9Fh0u73w5ib4rN6G1GcWPwg2bq8mss_esSuxsW-4GwZ7fyqvXIe1nCOeESS8jMyuW2cUxzcKVbcD1IFNbSoLJf8QUZ3I0J4OsS_4VJ5PBkg&__tn__=-R
